Product Name,Category,Sell Price,Condition,Language,Add Qty,Finish,ASIN,TCG Player Name, TCG Player ID
Forest (593) - Retro Frame,30th Anniversary Edition,3.06,Near Mint,English,3,Normal,,Forest (593) (Retro Frame),449497
Forest (594) - Retro Frame,30th Anniversary Edition,2.0,Near Mint,English,4,Normal,,Forest (594) (Retro Frame),449498
Island (583) - Retro Frame,30th Anniversary Edition,6.58,Near Mint,English,1,Normal,,Island (583) (Retro Frame),449487
Island (584) - Retro Frame,30th Anniversary Edition,3.25,Near Mint,English,1,Normal,,Island (584) (Retro Frame),449488
Island (585) - Retro Frame,30th Anniversary Edition,2.3,Near Mint,English,1,Normal,,Island (585) (Retro Frame),449489
Mountain (589) - Retro Frame,30th Anniversary Edition,1.45,Near Mint,English,1,Normal,,Mountain (589) (Retro Frame),449493
Mountain (591) - Retro Frame,30th Anniversary Edition,1.84,Near Mint,English,4,Normal,,Mountain (591) (Retro Frame),449495
Plains (580) - Retro Frame,30th Anniversary Edition,2.43,Near Mint,English,1,Normal,,Plains (580) (Retro Frame),449484
Plains (581) - Retro Frame,30th Anniversary Edition,2.7,Near Mint,English,2,Normal,,Plains (581) (Retro Frame),449485
Plains (582) - Retro Frame,30th Anniversary Edition,3.29,Near Mint,English,1,Normal,,Plains (582) (Retro Frame),449486
Battle Cry Goblin,Adventures in the Forgotten Realms,0.54,Near Mint,English,2,Normal,B09JN686DR,Battle Cry Goblin,243156
"Ebondeath, Dracolich",Adventures in the Forgotten Realms,3.21,Near Mint,English,1,Normal,B09JN6TQYX,"Ebondeath, Dracolich",243073
Feign Death,Adventures in the Forgotten Realms,0.49,Near Mint,English,1,Normal,B09JN66MN8,Feign Death,243205
Hall of Storm Giants,Adventures in the Forgotten Realms,2.15,Near Mint,English,1,Normal,B09JN6F8DJ,Hall of Storm Giants,243193
Minion of the Mighty,Adventures in the Forgotten Realms,0.92,Near Mint,English,1,Normal,B09JN6G94W,Minion of the Mighty,243053
Prosperous Innkeeper,Adventures in the Forgotten Realms,0.87,Near Mint,English,1,Normal,B09JN64KHY,Prosperous Innkeeper,239194
Wish,Adventures in the Forgotten Realms,0.66,Near Mint,English,1,Normal,B09JN71MBF,Wish,243170
Trophy Mage,Aether Revolt,0.39,Near Mint,English,1,Normal,B01MYA4K98,Trophy Mage,125849
Architects of Will,Alara Reborn,1.51,Near Mint,English,1,Normal,B002C405BQ,Architects of Will,31696
Soldevi Adnate (Female),Alliances,0.58,Near Mint,English,1,Normal,B005OV5FSW,Soldevi Adnate (Woman),81843
Bontu the Glorified,Amonkhet,2.09,Near Mint,English,1,Normal,B071R81HJG,Bontu the Glorified,130067
Lightning Angel,Apocalypse,0.81,Near Mint,English,1,Normal,B005OV4CZO,Lightning Angel,7985
Phyrexian Rager,Apocalypse,0.27,Near Mint,English,2,Normal,B005OV4JFC,Phyrexian Rager,8010
Dragonmaster Outcast,Battle for Zendikar,0.82,Near Mint,English,1,Normal,B015D1QDTC,Dragonmaster Outcast,105295
Sanctum of Ugin,Battle for Zendikar,1.48,Near Mint,English,1,Normal,B015EMOBSU,Sanctum of Ugin,105304
Myr Token,Battlebond,0.19,Near Mint,English,1,Normal,B07FKT78KV,Myr Token,168160
Archetype of Courage,Born of the Gods,1.04,Near Mint,English,2,Normal,B00HWJ08QS,Archetype of Courage,78841
Skred,Coldsnap,2.98,Near Mint,English,3,Normal,B005OV49RA,Skred,14113
Plains (289),Collectors' Edition,2.68,Near Mint,English,1,Normal,,Plains (A) (CE),97695
Cultivate,Commander 2011,0.77,Near Mint,English,1,Normal,B005LHP6X8,Cultivate,47366
Control Magic,Commander 2013,0.6,Near Mint,English,1,Normal,B00G6TWF20,Control Magic,72071
Fecundity,Commander 2013,0.51,Near Mint,English,1,Normal,B00G6TYLOA,Fecundity,72112
Nihil Spellbomb,Commander 2013,0.54,Near Mint,English,1,Normal,B00G6TVQIY,Nihil Spellbomb,72205
Reincarnation,Commander 2013,0.99,Near Mint,English,1,Normal,B00G6TZGWQ,Reincarnation,72240
